"Rating","Comment","Author","Date","Verified?"
"5","Small but mighty The HP printer showed up with no damage. After unpacking I installed the toner . You need to follow the instructions very carefully. WIFI set up was a little tricky but after using HP Smart APP it was easy to continue. The WIFI connection never dropped on me and is good as a USB typical wired set up. I had to download the manual from HP website. I'm using an HP Desktop and iPhone. The printer capability allows you to print, scan, and copy high-quality black","firehawk396","3/25/2022","Unverified"
"5","Black %26 white printing but COLOR scanning The one question I couldn't find a straight answer to before or after purchase (until I tried it for myself) is whether it still SCANS in full color. The answer is YES! (I guessed that it would, but it was frustrating to not know. Even the manual says nothing about it.). So now I have basic home B%26W printing and can use it to convert tons of old photos to digital as well. And HP's ink program?...Actually seems like a pretty good deal.","DGandCG","3/8/2024","Verified"
"5","Handled my big print job like a champ! Amazing. It clearly states on the package that this is meant for basic office duty, but I was able to push it harder. I had a 1,000 page document I needed to print, and I went to a local office supply store for a quote. They said it would be $213 tax. I thought, ""Maybe I should just get that HP laser printer I saw at Walmart instead. They're pretty fast, and they're really efficient on ink."" At $159 plus a $48 toner cartridge (it comes with a cartridge but I had some heavy graphics on some pages), it was about the same price as the office supply store, but I'd have a whole printer left over! And thanks to Walmart's next day shipping, I had it in my hands right away. I used the 123.hp.com site to install the software on my laptop and...See more","WalmartShopperNumber9","7/2/2023","Verified"
"4","Better than ink jet for sure. This is what I needed to get away from ink jet cartridges and my usage level. This is black and white only but I seldom use color. Toner installation is easy and doesn’t dry out like ink when you don’t use often.","Elden","4/2/2023","Verified"
"3","No good service from HP. I was promised ink for 6 months and I only got three. My printer didn't recognize the 3rd ink they sent, so I didn't get the rest. On top of that, the 3rd ink cartridge was lower than the other 2 and now I'm out. I have contacted HP twice and this never was resolved, so here sits my new printer with no ink. I don't like my pages being counted and that is the biggest downfall. I was excited when I first used it because it printed out nicely, but that didn't last long.","Terri","5/10/2023","Verified"
"3","I wany to know know if your printers can be setup to print off of a chromebook w/CHROME OS. I KNOW L GOOGLE XLOUD IS GONE BUY CAN THE PRINTER WORK? OR ANY OYHER LAZER PRINTERS ? ASKING BEFORE I BUY. THANK YOU","Steven","5/4/2023","Unverified"
"2","Bad printer This is the worse printer ever! It won't connect wireless and every time you turn it on it prints information about how to connect ( already printed about 50 times) I'm returning it!","adriane","11/24/2023","Verified"
"1","Can't print without internet or cable Printer prints fine - it's a laser printer. BEWARE of HOW you are able to print. You can only use the wireless feature of this printer if you sign-up to have an account AND your printer is connected to the internet for HP to collect data from your printer. If you lose internet but your router still works, you can't print wirelessly. If your hp account is disconnected, you can't print wirelessly. The hp tech support told me to sign up or get a cable! All the descriptions should say, ""To print wirelessly with this printer, you must have an hp account and give hp irrevocable access to the data the printer collects."" No more hp products for me.","Wendy","3/20/2023","Verified"
"1","Did not like it this computer jammed and messed up all my paper","ANTOINETTE","1/9/2024","Verified"
"1","no double-sided printing I bought it because it scans but there is no double-sided printing or two pages on one","Erin","1/9/2024","Verified"
"5","Huge upgrade from my old printer This printer is a huge upgrade from my old, worn out printer. Setup was really easy, it took less than 10 minutes. I think it took me longer to unbox the printer than it did to set it up. I love how this printer takes toner cartridges rather than ink cartridges because it can print way more before having to replace the cartridge. It is a lot quieter and faster than my old printer and much easier to operate. I love how I can wirelessly print as well and print things from my phone or tablet using the app. Its printing quality is awesome as well. And the HP Instant Ink subscription service is super affordable and handy so I never run out of ink. I received this product at a discount in exchange for my honest opinion.","ErinS79","4/13/2022","Unverified"
"5","FAST I love how fast this printer is compared to other printers! It saves me time and energy. I also love that it’s compatible with HP Instant Ink, which makes it convenient to get ink refills. It was very easy to set up and connect to my phone and computer. It also was easy to send links to connect to the printer to my employees. I love that the print quality is very high. I believe this printer is an irreplaceable asset because it saves me time! I received this product at a discount in exchange for my honest opinion.","Kade","3/24/2022","Unverified"
"5","This printer is a good compact addition to my home I got this printer because I wanted to have a printer at home. I do not print at home often but when I do I really struggle and having a small printer that uses toner is perfect for me. The toner does not dry and lasts longer. Now I can print copy and scan at home wirelessly, the printer is in my home office and I can print from my cell phone, my computer or laptop wirelessly. The printer does print fast in black and white and since it can hold up to 150 sheets of paper I do not have to check it often. It prints in good quality at 600 dpi and that is great. It does support envelopes as well as paper just in case. I do like that I can subscribe with HP so I do not run out of toner, which is a plus for me. I have the HP app on my devices so I...See more","AngelM","3/23/2022","Unverified"
"5","A printer that performs larger than its size This printer literally came out of the box ready to use. The setup guide that comes in the box is super easy to read and understand. All I had to do was literally take the printer out of the box, plug it in, remove some protective tape and download the HP Smart software on my phone by taking a picture of the QR code in the Setup Guide. It was that simple! It even took only a minute to get the HP Smart Software loaded on my computer as well. The printer itself is very fast and quiet and being so small doesn’t take up much real estate on my desk at all. It works seamlessly from a phone print job to a computer one. The second I press print on any device, this printer starts working and spits out the sheet in record time. The only thing I was n...See more","Jonathan","5/17/2022","Unverified"
"5","Super Nice affordable Laser Printer This printer is perfect for my needs! I have been working from home due to the pandemic and needed a printer to print and review documents. I didn`t need a color printer so black and white works fine for me. The setup was seamless It`s been working great ever since. I've plugged it in and set up.I`m happy that it takes up less space than my old printer and I`m thrilled with the WiFi connection which my old printer did not have. I`ve even been able to print from my phone which is a nice benefit. The printer speed and quality are great. I like having the scan and copy features which will come in handy. I also like the 2-sided printing to save paper. I would definitely recommend this to anybody that needs a reliable all-in-one printer. I rec...See more","Jessica","7/5/2022","Unverified"
"5","Compact, easy to use and set up This is super easy to use! It’s rather compact and easy to set up. Fits perfectly on my desk. I don’t have a lot of space, so I like that it’s pretty small. It’s tall, but narrow. It’s fast, and prints great quality. I recommend this. This is a great little printer if you’re just needing to print or scan simple documents or term papers. It’s really easy!","Brittiebean","4/21/2022","Unverified"
"2","Doesn’t stay connected to WiFi I’ve used many Laserjet printers over the years, mostly networked by Ethernet, and this printer just doesn’t live up to the standards. Nice looking, nice print quality, when it prints. It seems to not wake to print most of the time, falls offline from the network, states there’s an invisible paper jam, has trouble printing of it has only a few sheets of paper left, but also doesn’t like too much paper. It completely forgot its WiFi connection at least once where I had to reprogram it. So much hassle for a AirPrint printer. I have another HP inkjet that cost us $20 on an Amazon Prime deal that prints through WiFi every time without issue. This just doesn’t want to work like it should. It avoids working like it is it’s job to take siestas. Aw...See more","HP Team Hi there.I’m sorry your printer has performed so poorly. I can wholly understand why you’d be discouraged, considering the d...See more","6/24/2022","Unverified"
"4","Small Scale Powerhouse I found the HP LaserJet M139we to be a little powerhouse of work. Set up was fairly simple, with a couple of glitches, which I was able to easily look up and fix with a quick peek on Google. Wi-Fi set up was easy enough. It took about 20 minutes to get set up and get going. Scanning is fast and efficient. Printing and copies are crisp and look professional. I have a work from home business, as well as a job that I sometimes work from home, so I need to copy, scan and print constantly. I needed a quality machine, and this is it. I was pleasantly surprised at the compact size! Most Laser machines I have used in the past are much larger. My ONLY minor complaint is that it is a little noisier than I prefer, but the functionality more than makes...See more","Samgray","3/28/2022","Unverified"
"5","Small, yet Big Performance My 10-year-old Color Laser printer finally died, so I was looking for a smaller replacement with scanning capabilities now that I work from home some days and need to sign some documents for work. This unit checked all the boxes. I set up the printer in minutes using the HP Smart app on my computer. After the initial setup, I then set up it on my phone and laptop. I have not used a WiFI-enabled printer before and what a difference from having to e-mail what I needed to print to my desktop which was always wired directly to my printers via USB. The printer fires off prints quickly and perfectly either through WiFi or directly. I did some prints from my phone and the convenience is a time saver. I no longer have to fire up the desktop to pr...See more","gRimLocK49","4/13/2022","Unverified"
"5","It's like a compact office printer This printer is awesome! It is everything you'd have in one of those large office printers without taking up all the space. The set-up was a breeze. It probably took less than 10 minutes. Being able to print wirelessly is great. I was able to easily print a shipping label from my phone, which was incredible. The best part is that the ink will last much longer versus using a cartridge. Even though it doesn't print in color, I'm 100% satisfied! I received this product at a discount in exchange for my honest review.","Alicia","3/30/2022","Unverified"
